"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0xJ7r6c|Core State|WITH CORE|12|4630349||
0xz7FdW|Primary Variety|ANJOU|01|4630810||
0xz7FdW|Sub Variety / Color|NOT IDENTIFIED|02|4630810||
0xz7FdW|Product SZ Size/Count/Ripeness Designation|80 CT|03|4630810||
0xz7FdW|Grade|US #1 FANCY|04|4630810||
0xz7FdW|Storage Type|NOT APPLICABLE|05|4630810||
0xz7FdW|Packaging|CARTON|06|4630810||
0xz7FdW|Growing Area|WESTERN|07|4630810||
0xz7FdW|Growing Practices|CONVENTIONAL|08|4630810||
0xz7FdW|Product Style|WHOLE FRESH|09|4630810||
0xz7FdW|Processing|NOT IDENTIFIED|10|4630810||
0xz7FdW|Skin State|SKIN-ON|11|4630810||
0xz7FdW|Core State|WITH CORE|12|4630810||
0uOuMKM|Primary Variety|ANJOU|01|2713444||
0uOuMKM|Sub Variety / Color|NOT IDENTIFIED|02|2713444||
0uOuMKM|Product SZ Size/Count/Ripeness Designation|20 CT|03|2713444||
0uOuMKM|Grade|US #1 FANCY|04|2713444||
0uOuMKM|Storage Type|NOT APPLICABLE|05|2713444||
0uOuMKM|Packaging|CARTON|06|2713444||
0uOuMKM|Growing Area|WESTERN|07|2713444||
0uOuMKM|Growing Practices|CONVENTIONAL|08|2713444||
0uOuMKM|Product Style|WHOLE FRESH|09|2713444||
0uOuMKM|Processing|NOT IDENTIFIED|10|2713444||
0uOuMKM|Skin State|SKIN-ON|11|2713444||
0uOuMKM|Core State|WITH CORE|12|2713444||
0p8Wt4I|Primary Variety|BOSC|01|0719229|0719229|
0p8Wt4I|Sub Variety / Color|NOT IDENTIFIED|02|0719229|0719229|
0p8Wt4I|Product SZ Size/Count/Ripeness Designation|NOT IDENTIFIED|03|0719229|0719229|
0p8Wt4I|Grade|US #1 FANCY|04|0719229|0719229|
0p8Wt4I|Storage Type|NOT APPLICABLE|05|0719229|0719229|
0p8Wt4I|Packaging|CARTON|06|0719229|0719229|
0p8Wt4I|Growing Area|WESTERN|07|0719229|0719229|
0p8Wt4I|Growing Practices|CONVENTIONAL|08|0719229|0719229|
0p8Wt4I|Product Style|WHOLE FRESH|09|0719229|0719229|
0p8Wt4I|Processing|NOT IDENTIFIED|10|0719229|0719229|
0p8Wt4I|Skin State|SKIN-ON|11|0719229|0719229|
0p8Wt4I|Core State|WITH CORE|12|0719229|0719229|
0rFKfRe|Primary Variety|ANJOU|01|8319196||
